32
47175 * 164.5,39.5,64.5,206.0,90.5,103.0,252.5,180.5,81.0,122.5,43.5,39.5,109.0,0.0,0.0,28.0,52.5,21.5,5.0
25244 A 272.5,51.0,35.0,414.5,173.0,186.0,534.0,411.5,287.0,435.0,161.0,164.5,368.5,26.0,21.5,60.0,14.5,7.5,33.5
94582 199 17.0,0.0,5.0,32.0,4.0,34.0,66.0,20.0,32.0,53.0,5.0,12.0,10.0,3.0,0.0,12.0,0.0,5.0,0.0
21792 17 129.0,57.0,76.0,627.0,83.0,257.0,869.0,130.0,147.0,202.0,36.0,73.0,65.0,3.0,12.0,51.0,30.0,12.0,3.0
16398 18 30.5,0.0,12.0,62.0,25.5,30.0,121.0,38.0,52.5,46.0,9.0,8.0,22.5,10.0,0.0,20.0,8.0,8.0,0.0
99062 19 75.0,14.0,21.0,93.0,11.0,75.0,122.0,84.0,53.0,85.0,14.0,13.0,40.0,14.0,0.0,19.0,17.0,11.0,0.0
24829 20 93.0,36.0,59.0,196.0,55.0,55.0,139.0,99.0,34.0,59.0,31.0,29.0,88.0,5.0,0.0,14.0,19.0,10.0,0.0
143750 * 37.0,11.0,14.0,22.0,6.0,11.0,55.0,45.0,35.0,63.0,7.0,8.0,20.0,10.0,0.0,9.0,11.0,3.0,0.0
14028 * 106.5,37.5,34.5,189.5,66.0,69.5,259.5,107.0,112.0,154.0,40.0,77.5,66.5,4.0,3.5,24.5,12.5,17.0,4.0
103804 B 69.0,4.0,21.0,183.0,32.0,293.0,199.0,99.0,28.0,50.0,0.0,14.0,16.0,4.0,0.0,24.0,27.0,64.0,0.0
78056 east 49.0,4.0,8.0,49.0,13.0,70.0,140.0,60.0,44.0,80.0,10.0,34.0,25.0,0.0,0.0,14.0,3.0,4.0,0.0
93458 2 37.0,3.0,11.0,45.0,6.0,19.0,53.0,45.0,24.0,38.0,4.0,7.0,20.0,5.0,0.0,2.0,0.0,11.0,0.0
117427 * 41.0,10.0,42.0,300.0,22.0,133.0,221.0,48.0,37.0,67.0,6.0,14.0,26.0,4.0,2.0,20.0,11.0,6.0,3.0
110763 honey 35.0,8.5,11.5,24.0,0.0,15.0,79.5,48.5,36.5,29.5,2.0,0.0,29.0,12.5,0.0,7.5,4.0,0.0,0.0
135232 D 38.0,47.0,71.0,72.0,32.0,42.0,59.0,13.0,15.0,10.0,9.0,5.0,15.0,5.0,3.0,8.0,139.0,0.0,0.0
130800 Eye 185.0,44.0,114.0,743.5,142.0,354.5,746.5,195.0,217.5,262.5,86.0,118.0,139.0,8.0,8.0,59.5,72.0,36.5,17.0
127955 * 98.0,30.0,44.0,181.0,48.0,74.0,304.0,151.0,135.0,192.0,66.0,43.0,109.0,8.0,0.0,36.0,38.0,0.0,3.0
14263 C 18.0,0.0,0.0,31.5,0.0,23.0,101.0,49.0,51.5,43.5,3.5,21.0,26.0,23.0,0.0,14.0,0.0,4.0,0.0
109105 Yes 654.5,501.0,564.0,853.5,328.0,496.5,847.0,387.0,207.5,367.5,49.0,198.0,406.5,125.0,23.0,59.0,248.5,35.0,13.5
93982 King 17.0,0.0,0.0,55.0,4.0,21.0,40.0,39.0,32.0,41.0,4.0,12.0,8.0,0.0,0.0,10.0,0.0,4.0,0.0
4147 199 0.0,0.0,0.0,101.0,15.0,109.0,227.0,12.0,38.0,25.0,0.0,13.0,7.0,0.0,0.0,13.0,5.0,0.0,9.0
93012 * 16.5,3.5,1.5,42.5,8.5,3.0,73.5,62.0,68.5,82.0,7.0,18.5,30.5,8.5,0.0,15.5,4.0,10.5,4.0
97549 apple 147.5,24.5,26.0,127.0,63.5,85.5,431.0,181.5,187.5,220.0,32.5,78.5,106.5,43.0,12.5,64.5,12.5,13.5,11.5
134365 World 15.0,10.0,23.0,102.0,24.0,96.0,267.0,11.0,53.0,55.0,16.0,34.0,13.0,0.0,15.0,18.0,21.0,0.0,3.0
26024 * 756.0,81.5,161.5,904.0,309.0,304.5,836.0,1130.5,429.0,925.5,236.5,209.0,687.0,213.0,4.0,128.5,44.0,35.0,7.5
148907 K 40.0,0.0,5.0,65.0,21.5,29.0,122.0,78.5,28.5,88.5,42.5,30.0,80.0,0.0,0.0,18.0,0.0,2.0,0.0
98055 Spy 50.0,10.0,12.0,101.0,24.0,65.0,213.0,47.0,75.0,78.0,17.0,44.0,40.0,0.0,3.0,19.0,11.0,7.0,9.0
24416 * 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159756 Ring 4.5,0.0,0.0,36.5,0.0,10.0,106.5,42.5,83.5,54.5,14.0,21.5,4.5,4.5,0.0,13.5,0.0,14.0,0.0
146575 Lord 32.0,4.0,4.0,22.5,8.5,70.5,241.5,58.5,79.0,83.0,0.0,34.0,46.5,14.0,54.0,39.0,0.0,9.5,3.5
107238 1997 49.5,19.5,15.0,17.0,26.0,9.5,21.5,75.5,11.5,26.5,4.0,8.5,50.0,30.0,0.0,6.5,0.0,0.0,0.0
121625 money 168.0,34.0,46.5,166.0,66.5,66.5,130.0,184.5,82.5,120.0,17.5,22.5,115.5,27.0,0.5,19.0,20.5,6.0,0.0
